disease,cure
Depression  Persistent Sadness  Fatigue  Sleep Issues,"Seek therapy, engage in physical activity, practice mindfulness, and take prescribed antidepressants if needed."
Anxiety  Excessive Worry  Rapid Heartbeat  Sweating,"Practice deep breathing, engage in relaxation exercises, and consider therapy or medications if severe."
Schizophrenia  Hallucinations  Disorganized Thinking  Delusions,"Take prescribed antipsychotic medications, undergo therapy, and maintain a strong support system."
Insomnia  Difficulty Sleeping  Fatigue  Irritability,"Establish a bedtime routine, avoid caffeine before sleep, and take melatonin or sleep aids if needed."
Skin Allergies  Itchy Rash  Swelling  Redness,"Apply antihistamine creams, take allergy medications, and avoid triggers."
Eczema  Dry Skin  Itching  Redness,"Use hypoallergenic moisturizers, avoid irritants, and apply prescription topical steroids if necessary."
Psoriasis  Scaly Patches  Itchy Skin  Redness,"Use medicated creams, light therapy, and take prescribed immune-modulating drugs."
Acne  Pimples  Oily Skin  Redness,"Use benzoyl peroxide or salicylic acid treatments, maintain skin hygiene, and avoid oily cosmetics."
UTI  Painful Urination  Frequent Urge to Urinate  Lower Abdominal Pain,"Drink plenty of water, take prescribed antibiotics, and maintain good hygiene."
Kidney Stones  Severe Pain in Side  Blood in Urine  Vomiting,"Drink lots of water, take pain relievers, and undergo lithotripsy or surgery if necessary."
Common Coldcoughsore throatcongestion ,"Rest, drink fluids, use over-the-counter decongestants, take pain relievers like acetaminophen or ibuprofen, and use throat lozenges. If symptoms persist, consult a doctor."
Flufeverchillsmuscle achesfatigue ,"Rest, drink plenty of fluids, take antiviral medications (e.g., oseltamivir) within 48 hours of onset, and use over-the-counter fever reducers."
Stomach Flunauseavomitingdiarrheastomach cramps ,"Stay hydrated with water, clear soups, or oral rehydration solutions. Avoid solid food until symptoms subside. Medications like anti-nausea drugs may help, but see a doctor if dehydration occurs."
Allergic Rhinitissneezingrunny noseitchy eyesnasal congestion ,"Use antihistamines (e.g., loratadine, cetirizine), nasal corticosteroids (e.g., fluticasone), avoid allergens, and consider allergy shots for long-term relief."
Asthmawheezingshortness of breathchest tightness ,"Use bronchodilators (e.g., albuterol) as prescribed, inhaled corticosteroids (e.g., fluticasone), avoid triggers, and engage in regular exercise to improve lung function."
Diabetes Type 1increased thirstfrequent urinationfatigueweight loss ,"Insulin therapy is essential, monitor blood sugar regularly, follow a healthy diet, and engage in physical activity to maintain blood sugar levels."
Diabetes Type 2increased thirstfrequent urinationfatigueblurred vision ,"Lifestyle changes (diet and exercise), oral medications like metformin, and possibly insulin therapy. Regular blood sugar monitoring is crucial."
Hypertensionheadachesdizzinesschest pain ,"Monitor blood pressure regularly, take prescribed antihypertensive medications (e.g., ACE inhibitors, beta-blockers), and adopt a healthy diet low in salt and rich in fruits and vegetables."
Heart Attackchest painshortness of breathnausea ,"Immediate emergency care, medications like aspirin and blood thinners, possibly surgery like angioplasty or coronary artery bypass grafting (CABG) depending on the severity."
Strokesudden numbnessconfusiondifficulty speakingsevere headache ,"Immediate medical attention, clot-busting medications (e.g., tPA), surgery for hemorrhagic strokes, and rehabilitation therapies to regain lost skills."
Chickenpoxrashfeverfatigue ,"Symptomatic treatment (calamine lotion, acetaminophen), antiviral medications (e.g., acyclovir) for severe cases, avoid scratching to prevent scarring."
Measlescoughrashfeverred eyes ,"Supportive care with fever reducers, vitamin A supplements, and keeping hydrated. Seek medical attention if symptoms worsen."
Tuberculosiscoughweight lossnight sweatsfever ,"Long-term antibiotic therapy (e.g., rifampin, isoniazid), treatment duration usually 6-9 months, and close monitoring by healthcare providers."
Bronchitispersistent coughwheezingchest discomfort ,"Symptomatic treatment with cough suppressants, hydration, and over-the-counter pain relievers. Antibiotics may be prescribed if bacterial infection is suspected."
Pneumoniacoughfevershortness of breathchest pain ,"Antibiotics (for bacterial cases), antivirals (for viral causes), oxygen therapy if needed, rest, and plenty of fluids."
Chronic Obstructive Pulmonary Disease (COPD)chronic coughshortness of breathwheezing ,"Bronchodilators, corticosteroids, oxygen therapy, smoking cessation, pulmonary rehabilitation programs, and avoiding irritants."
Sinusitisnasal congestionfacial painheadache ,"Nasal decongestants, saline nasal sprays, and antibiotics if the infection is bacterial. Surgery may be needed for chronic cases."
Gastroesophageal Reflux Disease (GERD)heartburnregurgitationchest pain ,"Antacids, proton pump inhibitors (e.g., omeprazole), H2 blockers, and lifestyle changes such as avoiding large meals and not lying down after eating."
Ulcerative Colitisabdominal paindiarrheablood in stool ,"Anti-inflammatory medications (e.g., mesalamine), immunosuppressants (e.g., azathioprine), and in severe cases, surgery (colectomy)."
Crohn's Diseaseabdominal paindiarrheaweight lossfatigue ,"Anti-inflammatory medications (e.g., corticosteroids), immunosuppressants, antibiotics, and sometimes surgery if complications occur."
Gallstonesabdominal painnauseavomiting ,"Surgical removal of the gallbladder (cholecystectomy), medications to dissolve stones, and dietary changes."
Appendicitisabdominal painnauseavomitingfever ,Immediate surgery to remove the appendix (appendectomy) is the standard treatment.
Hepatitis Afatiguenauseajaundice ,"Rest, hydration, and a healthy diet. Hepatitis A usually resolves on its own, but avoid alcohol and consult a doctor."
Hepatitis Bfatiguenauseajaundiceabdominal pain ,"Antiviral medications, regular monitoring of liver function, and vaccination for prevention in at-risk individuals."
Hepatitis Cfatiguenauseajaundiceabdominal pain ,"Direct-acting antivirals (e.g., sofosbuvir, ledipasvir), and regular liver function monitoring."
Kidney Stonessevere pain in the backblood in urinenausea ,"Pain relievers, increased water intake, and sometimes surgery (lithotripsy) or procedures to remove stones."
Urinary Tract Infection (UTI)frequent urinationburning sensationblood in urine ,"Antibiotics (e.g., trimethoprim-sulfamethoxazole), hydration, and urinating after intercourse."
Bladder Infectionfrequent urinationburning sensationcloudy urine ,"Antibiotics (e.g., nitrofurantoin), hydration, and avoiding irritants like caffeine and alcohol."
Prostatitispelvic painpainful urinationfever ,"Antibiotics for bacterial infection, pain relievers, and sometimes alpha-blockers to relieve urinary symptoms."
Chronic Kidney Diseasefatigueswollen anklesfrequent urination ,"Blood pressure control, diet modification (low sodium, low potassium), dialysis, or kidney transplant in severe cases."
Anemiafatiguepale skinshortness of breath ,"Iron supplements, vitamin B12 injections, folic acid supplementation, and dietary changes."
Thyroid Disordersweight gain/lossfatiguehair thinning ,"Thyroid hormone replacement therapy for hypothyroidism, antithyroid medications for hyperthyroidism, and sometimes surgery."
Hyperthyroidismweight lossrapid heartbeatsweating ,"Antithyroid medications (e.g., methimazole), radioactive iodine therapy, or thyroidectomy."
Hypothyroidismweight gainfatiguecold intolerance ,"Thyroid hormone replacement (e.g., levothyroxine)."
Osteoarthritisjoint painstiffnessswelling ,"Pain relievers (e.g., acetaminophen, NSAIDs), physical therapy, joint injections, and sometimes joint replacement surgery."
Rheumatoid Arthritisjoint painswellingstiffnessfatigue ,"DMARDs (e.g., methotrexate), biologics (e.g., TNF inhibitors), and corticosteroids."
Fibromyalgiawidespread painfatiguesleep disturbances ,"Pain relievers, antidepressants (e.g., duloxetine), cognitive-behavioral therapy, and regular exercise."
Multiple Sclerosisvision problemsmuscle weaknessnumbness ,"Disease-modifying therapies (e.g., interferon beta), corticosteroids for flare-ups, and physical therapy."
Parkinson's Diseasetremorsbradykinesiapostural instability ,"Dopamine replacement therapy (e.g., levodopa), physical therapy, and deep brain stimulation."
Alzheimer's Diseasememory lossconfusiondifficulty completing tasks ,"Cholinesterase inhibitors (e.g., donepezil), NMDA receptor antagonists (e.g., memantine), and supportive care."
Depressionsadnessloss of interestfatigue ,"Antidepressants (e.g., SSRIs), psychotherapy (e.g., cognitive behavioral therapy), and lifestyle changes."
Anxietyexcessive worryrestlessnessdifficulty concentrating ,"Anxiolytics (e.g., diazepam), therapy (e.g., CBT), relaxation techniques, and lifestyle changes."
Schizophreniadelusionshallucinationsdisorganized thinking ,"Antipsychotic medications (e.g., olanzapine), therapy, and social support."
Bipolar Disordermood swingsextreme highs and lows ,"Mood stabilizers (e.g., lithium), antipsychotics, psychotherapy, and lifestyle modifications."
Obsessive-Compulsive Disorder (OCD)intrusive thoughtscompulsive behaviors ,"Cognitive-behavioral therapy (CBT), selective serotonin reuptake inhibitors (SSRIs), and sometimes exposure therapy."
Post-Traumatic Stress Disorder (PTSD)flashbacksnightmaresanxiety ,"Cognitive-behavioral therapy (CBT), medication (SSRIs), exposure therapy, and support groups."
Insomniadifficulty falling asleepstaying asleep ,"Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene, medication (e.g., melatonin or benzodiazepines) for short-term use."
Restless Leg Syndromeurge to move legsdiscomfort at night ,"Dopamine agonists (e.g., pramipexole), iron supplements, and lifestyle changes."
Psoriasisred patches with silvery scalesitching ,"Topical treatments (e.g., steroids, vitamin D analogs), phototherapy, and systemic medications (e.g., methotrexate)."
Acnepimplesblackheadsoily skin ,"Topical treatments (benzoyl peroxide, retinoids), oral antibiotics, and hormonal therapy."
Psoriatic Arthritisjoint painstiffnessred scaly patches on the skin ,"NSAIDs, DMARDs (e.g., methotrexate), biologics, and physical therapy."
Cellulitisredswollen skinpainfever ,"Antibiotics (e.g., penicillin), wound care, and rest."
Herpes Simplex Virus (HSV)cold soresblisters ,"Antiviral medications (e.g., acyclovir, valacyclovir), pain relievers, and avoiding triggers."
Shinglespainful rashblistersburning sensation ,"Antiviral medications (e.g., acyclovir), pain relievers, and sometimes corticosteroids."
Lyme Diseaserashfeverheadachefatigue ,"Antibiotics (e.g., doxycycline) if caught early, and symptom management."
Malariachillsfeversweatingfatigue ,"Antimalarial medications (e.g., chloroquine, artemisinin-based treatments)."
Typhoid Feverfeverabdominal painweakness ,"Antibiotics (e.g., ciprofloxacin, ceftriaxone), and hydration."
Whooping Coughsevere coughing fitswheezing ,"Antibiotics, cough medications, and supportive care."
Dengue Feverfeverjoint painrash ,"Supportive care (hydration, pain relievers), and rest."
Zika Virusfeverrashjoint pain ,"Symptomatic treatment (hydration, fever relievers), avoid mosquito bites."
COVID-19fevercoughshortness of breathfatigue ,"Rest, hydration, antiviral medications (e.g., remdesivir), oxygen therapy for severe cases."
Strep Throatsore throatfeverswollen lymph nodes ,"Antibiotics (e.g., penicillin), pain relievers, and rest."
Conjunctivitis (Pink Eye)rednessitchingwatery eyes ,"Antibiotics (for bacterial cases), antihistamines (for allergic cases), and warm compresses."
Concussionheadachenauseadizzinessconfusion ,"Rest, avoid strenuous activity, and monitor for worsening symptoms. Seek medical attention if symptoms persist."
Fracturespainswellingbruisinginability to move ,"Immobilization (cast or splint), pain management, surgery for complex fractures."
Sprains and Strainspainswellingbruising ,"Rest, ice, compression, and elevation (R.I.C.E.), pain relievers."
Tendonitispainswellingtenderness ,"Rest, ice, anti-inflammatory medications, physical therapy."
Carpal Tunnel Syndromenumbnesstinglingpain in hand ,"Wrist splints, physical therapy, corticosteroid injections, and sometimes surgery."
COVID-19  cough  fever  difficulty breathing,"Rest, hydration, fever reducers like acetaminophen, antivirals (Paxlovid, Remdesivir), oxygen therapy for severe cases."
HIV/AIDS  weak immune system  recurrent infections,"Antiretroviral therapy (ART), regular monitoring, healthy diet, and infection prevention."
Tuberculosis  chronic cough  night sweats  weight loss,"Long-term antibiotics (Isoniazid, Rifampin, Pyrazinamide, Ethambutol), proper ventilation."
Malaria  chills  sweating  high fever,"Antimalarial drugs (Chloroquine, Artemisinin-based therapies), mosquito prevention."
Hepatitis B  jaundice  liver pain  fatigue,"Antiviral medications (Tenofovir, Entecavir), liver monitoring, vaccination for prevention."
Influenza  body aches  sore throat  fever,"Antivirals (Oseltamivir, Zanamivir), rest, hydration, flu vaccine for prevention."
Dengue Fever  severe headache  joint pain  rash,"Supportive care, fluids, acetaminophen (avoid NSAIDs), mosquito prevention."
Ebola  bleeding  high fever  vomiting,"Supportive care (IV fluids, electrolytes), monoclonal antibodies (Inmazeb), strict isolation."
Zika Virus  rash  fever  joint pain  red eyes,"Symptomatic relief (rest, hydration, pain relievers), mosquito control."
Cholera  severe diarrhea  dehydration,"Oral rehydration therapy (ORT), IV fluids, antibiotics (Doxycycline, Azithromycin)."
Typhoid Fever  high fever  abdominal pain  weakness,"Antibiotics (Ciprofloxacin, Azithromycin), hydration, proper sanitation."
Plague  swollen lymph nodes  fever  chills,"Antibiotics (Streptomycin, Doxycycline), early detection, flea control."
Meningitis  stiff neck  fever  headache,"Antibiotics (Ceftriaxone, Vancomycin), corticosteroids, vaccination."
Sepsis  high heart rate  confusion  fever,"IV antibiotics, fluids, oxygen therapy, hospitalization."
Lyme Disease  bullseye rash  joint pain  fatigue,"Antibiotics (Doxycycline, Amoxicillin), early treatment is crucial."
Rabies  hydrophobia  paralysis  fever,"Rabies vaccine, post-exposure prophylaxis (PEP), immediate wound care."
Measles  rash  high fever  cough,"Supportive care, Vitamin A, MMR vaccine for prevention."
Tetanus  muscle stiffness  lockjaw,"Tetanus immunoglobulin, antibiotics (Metronidazole), muscle relaxants."
Diphtheria  sore throat  difficulty breathing,"Diphtheria antitoxin, antibiotics (Erythromycin, Penicillin), vaccination."
Pertussis (Whooping Cough)  severe cough  vomiting,"Antibiotics (Azithromycin, Clarithromycin), vaccination (DTaP)."
Cardiovascular Disease  chest pain  shortness of breath,"Lifestyle changes, statins, beta-blockers, aspirin, surgery if needed."
Diabetes  excessive thirst  frequent urination,"Insulin therapy (Type 1), oral medications (Metformin), lifestyle modifications."
COPD  chronic cough  shortness of breath,"Bronchodilators, steroids, oxygen therapy, smoking cessation."
Asthma  wheezing  breathlessness,"Inhalers (Albuterol, Steroids), avoid triggers, allergy management."
Alzheimer's  memory loss  confusion,"Medications (Donepezil, Memantine), cognitive therapy, caregiver support."
Kidney Disease  swelling  high blood pressure,"Dialysis, blood pressure control, kidney transplant in severe cases."
Liver Cirrhosis  jaundice  swelling  confusion,"Avoid alcohol, diuretics, liver transplant in end-stage cases."
Parkinson's  tremors  muscle stiffness,"Dopamine agonists (Levodopa, Carbidopa), physical therapy."
Arthritis  joint pain  stiffness,"Pain relievers (NSAIDs), physical therapy, joint injections."
Obesity  weight gain  difficulty in movement,"Lifestyle changes, diet modifications, exercise, weight-loss surgery."
Depression  persistent sadness  loss of interest,"Therapy (CBT), antidepressants (SSRIs, SNRIs), lifestyle changes."
Schizophrenia  hallucinations  delusions,"Antipsychotic medications (Risperidone, Olanzapine), therapy."
Epilepsy  seizures  confusion,"Antiepileptic drugs (Carbamazepine, Valproate), vagus nerve stimulation."
Hypertension  high blood pressure  dizziness,"Lifestyle changes, antihypertensive drugs (ACE inhibitors, Beta-blockers)."
Stroke  weakness on one side  slurred speech,"Clot-busting drugs (tPA), rehabilitation therapy, lifestyle changes."
Heart Attack  chest pain  left arm pain,"Aspirin, clot dissolvers, angioplasty, heart-healthy lifestyle."
Osteoporosis  weak bones  frequent fractures,"Calcium, Vitamin D, bisphosphonates, weight-bearing exercises."
Migraines  severe headaches  nausea,"Pain relievers, triptans, lifestyle changes to avoid triggers."
Heatstroke  high body temperature  confusion,"Cooling techniques (ice packs, hydration, medical emergency care)."
Hypothermia  shivering  slurred speech,"Gradual rewarming, heated blankets, IV fluids."
Dehydration  dizziness  dry mouth  weakness,"Oral rehydration therapy, IV fluids in severe cases."
Neonatal Jaundice  yellow skin  drowsiness,"Phototherapy, adequate feeding, monitoring bilirubin levels."
Mononucleosis  fatigue  sore throat  swollen lymph nodes  fever,"Rest, stay hydrated, avoid contact sports, take pain relievers, and see a doctor for severe cases."
Rosacea  facial redness  visible blood vessels  bumps,"Topical medications (metronidazole, azelaic acid), oral antibiotics, laser therapy, and avoiding triggers like sun and spicy foods."
Gout  severe joint pain  swelling  redness,"NSAIDs, colchicine, corticosteroids, allopurinol for prevention, dietary changes (low purine), and staying hydrated."
Hemorrhoids  rectal bleeding  itching  pain,"Fiber supplements, sitz baths, topical creams, avoid straining, and surgery for severe cases."
Varicose Veins  swollen veins  leg pain  heaviness,"Compression stockings, exercise, elevation, sclerotherapy, or surgery for severe cases."
Sciatica  lower back pain  leg pain  numbness,"Physical therapy, pain relievers, hot/cold therapy, epidural injections, and surgery if severe."
Plantar Fasciitis  heel pain  stiffness  morning pain,"Rest, ice, stretching exercises, orthotics, NSAIDs, and corticosteroid injections."
Bursitis  joint pain  swelling  stiffness,"Rest, ice, NSAIDs, physical therapy, corticosteroid injections, and avoiding repetitive motions."
Gastritis  stomach pain  nausea  bloating,"Antacids, proton pump inhibitors, avoid irritants (alcohol, spicy foods), and eat smaller meals."
Irritable Bowel Syndrome (IBS)  abdominal pain  bloating  diarrhea  constipation,"Dietary changes (FODMAP diet), fiber supplements, stress management, and medications for symptoms."
Diverticulitis  abdominal pain  fever  nausea,"Antibiotics, clear liquid diet, rest, and surgery for severe or recurrent cases."
Pancreatitis  severe abdominal pain  nausea  vomiting,"Hospitalization, IV fluids, pain management, fasting, and treating underlying causes."
Gallbladder Disease  abdominal pain  nausea  vomiting,"Pain management, dietary changes (low-fat), and surgical removal (cholecystectomy) if needed."
Hernia  bulge  pain  discomfort,"Watchful waiting, lifestyle changes, and surgical repair for symptomatic cases."
Celiac Disease  diarrhea  weight loss  fatigue  bloating,"Strict gluten-free diet, nutritional supplements, and regular monitoring."
Lactose Intolerance  bloating  diarrhea  gas,"Avoid dairy products, use lactase supplements, and choose lactose-free alternatives."
Hemochromatosis  fatigue  joint pain  abdominal pain,"Phlebotomy (blood removal), dietary changes (low iron), and regular monitoring."
Wilson's Disease  fatigue  jaundice  tremors,"Chelating agents (penicillamine), zinc supplements, and liver transplant in severe cases."
Gouty Arthritis  severe joint pain  swelling  redness,"NSAIDs, colchicine, corticosteroids, allopurinol, and dietary modifications."
Lupus  joint pain  fatigue  rash  fever,"Anti-inflammatory medications, corticosteroids, immunosuppressants, and sun protection."
Sjogren's Syndrome  dry eyes  dry mouth  fatigue,"Artificial tears, saliva substitutes, medications to increase secretions, and treating underlying conditions."
Scleroderma  skin thickening  joint pain  Raynaud's phenomenon,"Immunosuppressants, physical therapy, medications for specific symptoms, and regular monitoring."
Polymyalgia Rheumatica  muscle pain  stiffness  fatigue,"Corticosteroids, gradual tapering, and monitoring for complications."
Temporal Arteritis  headache  vision problems  jaw pain,"High-dose corticosteroids immediately, and long-term management to prevent blindness."
Myasthenia Gravis  muscle weakness  drooping eyelids  difficulty swallowing,"Cholinesterase inhibitors, immunosuppressants, plasmapheresis, and thymectomy."
Guillain-Barre Syndrome  weakness  tingling  paralysis,"Plasmapheresis, IV immunoglobulin, supportive care, and physical therapy."
Bell's Palsy  facial weakness  drooping  difficulty closing eye,"Corticosteroids, eye protection, physical therapy, and antiviral medications if viral."
Trigeminal Neuralgia  severe facial pain  electric shock sensations,"Anticonvulsants (carbamazepine), nerve blocks, and surgery for severe cases."
Cluster Headaches  severe one-sided headache  eye watering  nasal congestion,"Oxygen therapy, triptans, preventive medications, and avoiding triggers."
Tension Headaches  pressure  tightness  mild to moderate pain,"Stress management, relaxation techniques, over-the-counter pain relievers, and lifestyle changes."
Vertigo  dizziness  spinning sensation  nausea,"Vestibular rehabilitation, medications (antihistamines, anticholinergics), and treating underlying causes."
Meniere's Disease  vertigo  hearing loss  tinnitus,"Diuretics, low-salt diet, medications for vertigo, and surgery in severe cases."
Tinnitus  ringing in ears  buzzing  hissing,"Sound therapy, hearing aids, cognitive behavioral therapy, and treating underlying causes."
Otitis Media  ear pain  hearing loss  fever,"Antibiotics if bacterial, pain relievers, and sometimes ear tube placement."
Glaucoma  vision loss  eye pain  halos around lights,"Eye drops to reduce pressure, laser therapy, and surgery if needed."
Cataracts  cloudy vision  difficulty seeing at night  faded colors,Surgical removal of cloudy lens and replacement with artificial lens.
Macular Degeneration  blurred vision  dark spots  distorted vision,"Anti-VEGF injections, laser therapy, nutritional supplements, and lifestyle changes."
Diabetic Retinopathy  blurred vision  floaters  vision loss,"Blood sugar control, laser treatment, anti-VEGF injections, and regular eye exams."
Retinal Detachment  sudden floaters  flashes  vision loss,"Immediate surgical repair (laser, cryopexy, or vitrectomy) to prevent permanent vision loss."
Dry Eye Syndrome  burning  itching  redness,"Artificial tears, warm compresses, eyelid hygiene, and medications to increase tear production."
Stye  red bump on eyelid  pain  swelling,"Warm compresses, antibiotic ointments, and avoiding eye makeup."
Blepharitis  red eyelids  crusting  itching,"Eyelid hygiene, warm compresses, antibiotic ointments, and artificial tears."
Conjunctivitis Bacterial  red eyes  discharge  crusting,"Antibiotic eye drops or ointments, warm compresses, and good hygiene."
Conjunctivitis Viral  red eyes  watery discharge  irritation,"Symptomatic treatment, cold compresses, and avoiding contact with others."
Conjunctivitis Allergic  red eyes  itching  tearing,"Antihistamine eye drops, avoiding allergens, and cold compresses."
Oral Thrush  white patches  soreness  difficulty swallowing,"Antifungal medications (nystatin, fluconazole), good oral hygiene, and treating underlying causes."
Gingivitis  red swollen gums  bleeding  bad breath,"Professional cleaning, improved oral hygiene, antiseptic mouthwash, and regular dental care."
Periodontitis  gum recession  loose teeth  bad breath,"Deep cleaning (scaling and root planing), antibiotics, and sometimes surgery."
Tooth Abscess  severe toothache  swelling  fever,"Antibiotics, root canal treatment, or tooth extraction, and pain management."
TMJ Disorder  jaw pain  clicking  difficulty opening mouth,"Pain relievers, muscle relaxants, bite guards, physical therapy, and avoiding hard foods."
Sleep Apnea  snoring  daytime fatigue  gasping for air,"CPAP machine, lifestyle changes (weight loss, avoiding alcohol), oral appliances, and sometimes surgery."
Restless Legs Syndrome  urge to move legs  discomfort  sleep disruption,"Dopamine agonists, iron supplements, lifestyle changes, and treating underlying conditions."
Narcolepsy  excessive daytime sleepiness  sudden sleep attacks  cataplexy,"Stimulants, antidepressants, scheduled naps, and lifestyle modifications."
Sleepwalking  walking during sleep  confusion  no memory,"Safety measures, treating underlying causes, medications if severe, and good sleep hygiene."
Night Terrors  screaming  fear  no memory,"Reassurance, safety measures, treating underlying causes, and improving sleep hygiene."
Bedwetting  nighttime urination  embarrassment,"Behavioral techniques, bedwetting alarms, medications if needed, and addressing underlying causes."
Enuresis  involuntary urination  daytime or nighttime,"Behavioral therapy, medications (desmopressin), and treating underlying causes."
Urinary Incontinence  leakage  urgency  frequency,"Pelvic floor exercises, bladder training, medications, and sometimes surgery."
Overactive Bladder  frequent urination  urgency  nocturia,"Bladder training, medications (anticholinergics), lifestyle changes, and sometimes Botox injections."
Kidney Infection  fever  back pain  frequent urination,"Antibiotics, hydration, pain relievers, and sometimes hospitalization."
Glomerulonephritis  blood in urine  swelling  high blood pressure,"Treating underlying cause, medications (corticosteroids, immunosuppressants), and sometimes dialysis."
Polycystic Kidney Disease  abdominal pain  high blood pressure  kidney failure,"Blood pressure control, pain management, treating complications, and dialysis or transplant."
Nephrotic Syndrome  swelling  protein in urine  high cholesterol,"Corticosteroids, diuretics, ACE inhibitors, and treating underlying causes."
Kidney Failure  fatigue  swelling  decreased urination,"Dialysis, kidney transplant, medications, and dietary restrictions."
Prostate Enlargement  frequent urination  weak stream  difficulty starting,"Medications (alpha-blockers, 5-alpha reductase inhibitors), and surgery if severe."
Prostate Cancer  difficulty urinating  blood in urine  bone pain,"Surgery, radiation, hormone therapy, chemotherapy, and active surveillance for slow-growing."
Testicular Cancer  lump in testicle  pain  swelling,"Surgery (orchiectomy), chemotherapy, radiation, and regular follow-up."
Erectile Dysfunction  difficulty achieving erection  reduced libido,"Lifestyle changes, medications (PDE5 inhibitors), therapy, and treating underlying causes."
Premature Ejaculation  early climax  relationship stress,"Behavioral techniques, medications (SSRIs, topical anesthetics), and therapy."
